,CO2,datetime_utc,latitude,longitude,altitude
0,1664.0,2024-11-09 16:42:15.354000+00:00,40.3928485,-3.72438958,658.54
1,1628.0,2024-11-09 16:42:25.354000+00:00,40.3928144,-3.72426791,660.7
2,1312.0,2024-11-09 16:42:35.354000+00:00,40.3928144,-3.72426791,660.7
3,1162.0,2024-11-09 16:42:45.354000+00:00,40.39269991,-3.72420978,666.44
4,1033.0,2024-11-09 16:42:55.354000+00:00,40.39271549,-3.72408785,669.87
5,953.0,2024-11-09 16:43:05.354000+00:00,40.3925797,-3.72371441,668.7
6,929.0,2024-11-09 16:43:15.354000+00:00,40.39242711,-3.72325627,670.08
7,872.0,2024-11-09 16:43:25.354000+00:00,40.39227921,-3.72271316,670.78
8,791.0,2024-11-09 16:43:35.354000+00:00,40.39208266,-3.72207979,670.7
9,719.0,2024-11-09 16:43:45.354000+00:00,40.39192379,-3.72154633,666.16
10,627.0,2024-11-09 16:43:55.354000+00:00,40.39182466,-3.72105599,668.07
11,447.0,2024-11-09 16:44:05.354000+00:00,40.39183451,-3.72061013,657.65
12,209.0,2024-11-09 16:44:15.354000+00:00,40.39176506,-3.72003963,654.78
13,160.0,2024-11-09 16:44:25.354000+00:00,40.39167239,-3.71932325,649.1
14,539.0,2024-11-09 16:44:35.354000+00:00,40.39152098,-3.71861453,649.65
15,581.0,2024-11-09 16:44:45.354000+00:00,40.3913767,-3.71792025,645.75
16,1025.0,2024-11-09 16:44:55.354000+00:00,40.39122286,-3.71716493,647.94
17,827.0,2024-11-09 16:45:05.354000+00:00,40.39108854,-3.71645024,649.71
18,362.0,2024-11-09 16:45:15.354000+00:00,40.39098671,-3.71588618,651.34
19,361.0,2024-11-09 16:45:25.354000+00:00,40.39077011,-3.71571084,656.82
20,359.0,2024-11-09 16:45:35.354000+00:00,40.39018898,-3.71589166,658.24
21,153.0,2024-11-09 16:45:45.354000+00:00,40.38966971,-3.71606709,656.83
22,170.0,2024-11-09 16:45:55.354000+00:00,40.38925313,-3.71620005,653.02
23,122.0,2024-11-09 16:46:05.354000+00:00,40.38914435,-3.71631639,653.34
24,0.0,2024-11-09 16:46:15.354000+00:00,40.38914435,-3.71631639,653.34
25,297.0,2024-11-09 16:46:25.354000+00:00,40.38914435,-3.71631639,653.34
26,317.0,2024-11-09 16:46:35.354000+00:00,40.38914435,-3.71631639,653.34
27,350.0,2024-11-09 16:46:45.354000+00:00,40.38914435,-3.71631639,653.34
28,532.0,2024-11-09 16:46:55.354000+00:00,40.38914435,-3.71631639,653.34
29,1077.0,2024-11-09 16:47:05.354000+00:00,40.38914435,-3.71631639,653.34
30,898.0,2024-11-09 16:47:15.354000+00:00,40.38914435,-3.71631639,653.34
31,396.0,2024-11-09 16:47:25.354000+00:00,40.38914435,-3.71631639,653.34
32,391.0,2024-11-09 16:47:35.354000+00:00,40.38914435,-3.71631639,653.34
33,236.0,2024-11-09 16:47:45.354000+00:00,40.38914435,-3.71631639,653.34
34,206.0,2024-11-09 16:47:55.354000+00:00,40.38914435,-3.71631639,653.34
35,0.0,2024-11-09 16:48:05.354000+00:00,40.38914435,-3.71631639,653.34
36,85.0,2024-11-09 16:48:15.354000+00:00,40.38914435,-3.71631639,653.34
37,256.0,2024-11-09 16:48:25.354000+00:00,40.38917768,-3.71625147,656.83
38,0.0,2024-11-09 16:48:35.354000+00:00,40.38917768,-3.71625147,656.83
39,0.0,2024-11-09 16:48:45.354000+00:00,40.38917768,-3.71625147,656.83
40,750.0,2024-11-09 16:48:55.354000+00:00,40.38917768,-3.71625147,656.83
